cycle,timestamp,counts,speeds,probs,selected,duration,confidence
35,08:59:24,"[18, 59, 114, 5]","[18.4, 33.9, 32.8, 21.3]","{'N': np.float64(0.6535591525859924), 'S': np.float64(0.8159236049311475), 'E': np.float64(0.8642401676923618), 'W': np.float64(0.5452058044967908)}",E,45.0,0.86
36,08:59:25,"[31, 101, 112, 27]","[16.6, 19.3, 8.1, 33.3]","{'N': np.float64(0.7872151811988082), 'S': np.float64(0.9488720112079733), 'E': np.float64(0.9137832202086664), 'W': np.float64(0.11544706405333766)}",S,45.0,0.95
37,08:59:25,"[92, 34, 64, 45]","[39.2, 30.3, 30.6, 20.3]","{'N': np.float64(0.9353701465690941), 'S': np.float64(0.25856967236130385), 'E': np.float64(0.9412470074645253), 'W': np.float64(0.9296573423404578)}",E,45.0,0.94
38,08:59:26,"[26, 100, 19, 44]","[36.7, 25.7, 30.1, 28.6]","{'N': np.float64(0.12541793337105359), 'S': np.float64(0.9162549196177394), 'E': np.float64(0.13260952221606226), 'W': np.float64(0.8814143959762405)}",S,45.0,0.92
39,08:59:26,"[86, 76, 90, 56]","[39.2, 25.4, 42.3, 16.6]","{'N': np.float64(0.9231957354148331), 'S': np.float64(0.9172177223092228), 'E': np.float64(0.9431010227566251), 'W': np.float64(0.9229418280047236)}",E,45.0,0.94
40,08:59:27,"[70, 70, 100, 104]","[8.9, 48.7, 34.2, 46.6]","{'N': np.float64(0.9340392935004341), 'S': np.float64(0.9352563881896623), 'E': np.float64(0.9038454092089826), 'W': np.float64(0.8882490408969989)}",S,45.0,0.94
41,08:59:28,"[83, 5, 30, 63]","[24.0, 35.3, 32.5, 4.6]","{'N': np.float64(0.8750913152780306), 'S': np.float64(0.1330858971832631), 'E': np.float64(0.15086620033682538), 'W': np.float64(0.9527581852743926)}",W,45.0,0.95
42,08:59:28,"[40, 81, 81, 63]","[17.2, 42.5, 20.0, 21.9]","{'N': np.float64(0.8165267508274092), 'S': np.float64(0.9509928210684361), 'E': np.float64(0.964230492288616), 'W': np.float64(0.9698150405293093)}",W,45.0,0.97
43,08:59:29,"[57, 94, 104, 23]","[26.0, 46.1, 42.8, 33.5]","{'N': np.float64(0.9197740562613552), 'S': np.float64(0.9217948957253643), 'E': np.float64(0.925932249863992), 'W': np.float64(0.1475811444441988)}",E,45.0,0.93
44,08:59:29,"[77, 111, 44, 110]","[24.7, 12.2, 8.6, 17.9]","{'N': np.float64(0.9071179737332503), 'S': np.float64(0.9393840123013494), 'E': np.float64(0.9466302165639267), 'W': np.float64(0.9291063040715383)}",E,45.0,0.95
45,08:59:30,"[98, 101, 80, 69]","[19.5, 22.7, 17.6, 16.2]","{'N': np.float64(0.9340855230824346), 'S': np.float64(0.9244207361681777), 'E': np.float64(0.9534794921782109), 'W': np.float64(0.9699950387204624)}",W,45.0,0.97
46,08:59:30,"[78, 64, 97, 99]","[4.6, 41.2, 43.9, 49.9]","{'N': np.float64(0.9690992854772155), 'S': np.float64(0.941057884215634), 'E': np.float64(0.9301958479522657), 'W': np.float64(0.932470562153386)}",N,45.0,0.97
47,08:59:31,"[15, 39, 13, 51]","[45.0, 20.3, 7.9, 33.4]","{'N': np.float64(0.06957904786988255), 'S': np.float64(0.659085571432898), 'E': np.float64(0.8763777077080174), 'W': np.float64(0.9591203986045082)}",W,45.0,0.96
48,08:59:31,"[53, 92, 113, 37]","[3.9, 43.5, 30.0, 6.8]","{'N': np.float64(0.9146517333628458), 'S': np.float64(0.9246836885943581), 'E': np.float64(0.9148762126158101), 'W': np.float64(0.849887857836016)}",S,45.0,0.92
49,08:59:32,"[77, 18, 29, 57]","[12.4, 14.1, 15.1, 9.5]","{'N': np.float64(0.9382875274504685), 'S': np.float64(0.8079519224166704), 'E': np.float64(0.854729844404452), 'W': np.float64(0.9519547090706991)}",W,45.0,0.95
50,08:59:33,"[5, 86, 117, 108]","[23.5, 25.0, 7.7, 29.5]","{'N': np.float64(0.18688570676789154), 'S': np.float64(0.9084717470284994), 'E': np.float64(0.9439619197032473), 'W': np.float64(0.936174043920369)}",E,45.0,0.94
51,08:59:33,"[59, 93, 81, 117]","[43.2, 44.1, 18.3, 43.1]","{'N': np.float64(0.9193294612814243), 'S': np.float64(0.925833614075292), 'E': np.float64(0.9178450755340322), 'W': np.float64(0.9367433392380811)}",W,45.0,0.94
52,08:59:34,"[36, 17, 39, 113]","[27.8, 45.9, 33.6, 27.1]","{'N': np.float64(0.35686055338330913), 'S': np.float64(0.14272569256404177), 'E': np.float64(0.5057081855720408), 'W': np.float64(0.9361788307700275)}",W,45.0,0.94
53,08:59:34,"[39, 26, 67, 59]","[40.1, 17.8, 38.7, 26.6]","{'N': np.float64(0.1990352495111556), 'S': np.float64(0.6334027539549861), 'E': np.float64(0.942220048424843), 'W': np.float64(0.9476916507711474)}",W,45.0,0.95
54,08:59:35,"[73, 47, 99, 117]","[25.9, 23.0, 13.3, 31.5]","{'N': np.float64(0.9401235489246825), 'S': np.float64(0.9095769201947919), 'E': np.float64(0.9094235740684835), 'W': np.float64(0.9564242157699835)}",W,45.0,0.96
55,08:59:35,"[40, 72, 63, 111]","[18.5, 35.7, 19.1, 9.5]","{'N': np.float64(0.7961448755299092), 'S': np.float64(0.9099231854950102), 'E': np.float64(0.9352687692592587), 'W': np.float64(0.9412570093728203)}",W,45.0,0.94
56,08:59:36,"[92, 18, 53, 72]","[41.7, 26.0, 32.9, 36.9]","{'N': np.float64(0.9593016101666959), 'S': np.float64(0.1486839427981708), 'E': np.float64(0.9608662908825041), 'W': np.float64(0.9311947443454678)}",E,45.0,0.96
57,08:59:37,"[8, 79, 57, 54]","[27.8, 40.2, 48.1, 10.6]","{'N': np.float64(0.1961935425054078), 'S': np.float64(0.9212996432353044), 'E': np.float64(0.9105102102597984), 'W': np.float64(0.9126617591686111)}",S,45.0,0.92
58,08:59:37,"[93, 60, 62, 108]","[16.0, 7.0, 13.5, 33.9]","{'N': np.float64(0.9625289757281197), 'S': np.float64(0.9583541916377996), 'E': np.float64(0.9702300972645335), 'W': np.float64(0.9347266143376316)}",E,45.0,0.97
59,08:59:38,"[45, 76, 110, 23]","[48.3, 49.4, 43.4, 8.4]","{'N': np.float64(0.8974489081668359), 'S': np.float64(0.8921685838359694), 'E': np.float64(0.8763651691673912), 'W': np.float64(0.7281587801271843)}",N,45.0,0.9
60,08:59:38,"[69, 5, 9, 116]","[15.3, 7.2, 30.8, 15.3]","{'N': np.float64(0.8668187789246115), 'S': np.float64(0.6834634735164558), 'E': np.float64(0.1954514373205043), 'W': np.float64(0.8722944818516273)}",W,45.0,0.87
61,08:59:39,"[22, 111, 29, 73]","[44.6, 42.2, 23.8, 20.6]","{'N': np.float64(0.10959133634031505), 'S': np.float64(0.9160966042784238), 'E': np.float64(0.32477938512041615), 'W': np.float64(0.9410834529926028)}",W,45.0,0.94
62,08:59:39,"[27, 25, 117, 49]","[36.5, 39.7, 33.3, 15.9]","{'N': np.float64(0.10097791363772878), 'S': np.float64(0.15766296531170565), 'E': np.float64(0.9426745721499664), 'W': np.float64(0.9402563354328515)}",E,45.0,0.94
63,08:59:40,"[34, 54, 8, 48]","[45.4, 16.1, 19.7, 26.6]","{'N': np.float64(0.16050722439155676), 'S': np.float64(0.8732493507831), 'E': np.float64(0.6388917611102842), 'W': np.float64(0.937253709315371)}",W,45.0,0.94
64,08:59:40,"[22, 55, 86, 99]","[2.7, 45.7, 13.7, 16.0]","{'N': np.float64(0.8947803146496485), 'S': np.float64(0.85500840741257), 'E': np.float64(0.8686390616785588), 'W': np.float64(0.8695516527621482)}",N,45.0,0.89
65,08:59:41,"[100, 14, 50, 52]","[17.5, 8.7, 19.7, 47.0]","{'N': np.float64(0.9485517553826529), 'S': np.float64(0.8826783783977364), 'E': np.float64(0.941895618028244), 'W': np.float64(0.9012601583302342)}",N,45.0,0.95
66,08:59:42,"[91, 109, 15, 83]","[6.8, 11.5, 3.2, 26.7]","{'N': np.float64(0.897747529114309), 'S': np.float64(0.9377704265751284), 'E': np.float64(0.8905247892984403), 'W': np.float64(0.8964880433332593)}",S,45.0,0.94
67,08:59:42,"[44, 9, 94, 16]","[19.1, 25.6, 27.4, 39.4]","{'N': np.float64(0.9051404393692581), 'S': np.float64(0.2000731717552558), 'E': np.float64(0.9301270103013428), 'W': np.float64(0.19470739000996692)}",E,45.0,0.93
68,08:59:43,"[113, 118, 19, 23]","[5.8, 27.2, 22.8, 7.8]","{'N': np.float64(0.9460681678935896), 'S': np.float64(0.8801494010455949), 'E': np.float64(0.2291384475466786), 'W': np.float64(0.8048425868157238)}",N,45.0,0.95
69,08:59:43,"[15, 84, 118, 71]","[18.6, 25.1, 12.4, 15.5]","{'N': np.float64(0.5773032832854025), 'S': np.float64(0.8861505125941246), 'E': np.float64(0.8991636624886401), 'W': np.float64(0.892416414414837)}",E,45.0,0.9
70,08:59:44,"[117, 30, 47, 58]","[43.8, 6.7, 33.9, 3.4]","{'N': np.float64(0.885208623554924), 'S': np.float64(0.8265012052317396), 'E': np.float64(0.8661814482698609), 'W': np.float64(0.8797821367651091)}",N,45.0,0.89
71,08:59:44,"[87, 10, 53, 20]","[45.2, 43.7, 24.8, 28.1]","{'N': np.float64(0.9653726681587873), 'S': np.float64(0.09163238745826281), 'E': np.float64(0.9463779050985647), 'W': np.float64(0.18470056874127372)}",N,45.0,0.97
72,08:59:45,"[98, 118, 108, 58]","[16.1, 34.4, 36.5, 31.7]","{'N': np.float64(0.967732722565736), 'S': np.float64(0.9176083050763544), 'E': np.float64(0.9261504831604149), 'W': np.float64(0.9521539115029679)}",N,45.0,0.97
73,08:59:45,"[82, 27, 37, 21]","[43.0, 42.5, 31.7, 20.5]","{'N': np.float64(0.9528362681331739), 'S': np.float64(0.11026197324133279), 'E': np.float64(0.46566887977870813), 'W': np.float64(0.5484415693109271)}",N,45.0,0.95
74,08:59:46,"[85, 43, 67, 39]","[7.1, 19.9, 8.5, 41.1]","{'N': np.float64(0.9336184480264633), 'S': np.float64(0.8712764566722734), 'E': np.float64(0.9122760506837756), 'W': np.float64(0.23202555325487084)}",N,45.0,0.93
75,08:59:47,"[84, 10, 52, 84]","[29.1, 15.4, 3.0, 13.9]","{'N': np.float64(0.9041312498561096), 'S': np.float64(0.8106344075119775), 'E': np.float64(0.9291330817615432), 'W': np.float64(0.9507740287314368)}",W,45.0,0.95
76,08:59:47,"[20, 73, 82, 105]","[43.0, 22.9, 39.8, 17.9]","{'N': np.float64(0.1545626473241262), 'S': np.float64(0.9128792789144664), 'E': np.float64(0.9053568231137817), 'W': np.float64(0.9114793148585545)}",S,45.0,0.91
77,08:59:48,"[44, 63, 70, 116]","[18.8, 19.2, 34.4, 30.7]","{'N': np.float64(0.9485901432039036), 'S': np.float64(0.9350993112314308), 'E': np.float64(0.949759864805013), 'W': np.float64(0.9531653807410976)}",W,45.0,0.95
78,08:59:48,"[105, 110, 73, 112]","[16.7, 39.0, 38.2, 18.5]","{'N': np.float64(0.9068741956773245), 'S': np.float64(0.8886989988021503), 'E': np.float64(0.8754225475674142), 'W': np.float64(0.8999698870070038)}",N,45.0,0.91
79,08:59:49,"[99, 55, 64, 53]","[15.7, 32.3, 5.1, 18.4]","{'N': np.float64(0.9525611394630903), 'S': np.float64(0.9490426178963619), 'E': np.float64(0.946721920239569), 'W': np.float64(0.9359155687538603)}",N,45.0,0.95
80,08:59:49,"[8, 43, 79, 53]","[32.1, 30.0, 48.1, 2.7]","{'N': np.float64(0.08664968253703675), 'S': np.float64(0.8960926787501587), 'E': np.float64(0.9561350060541016), 'W': np.float64(0.9672832048173052)}",W,45.0,0.97
81,08:59:50,"[5, 25, 62, 58]","[26.7, 16.0, 20.8, 47.8]","{'N': np.float64(0.22505283524595796), 'S': np.float64(0.7703411168892335), 'E': np.float64(0.9395707629346911), 'W': np.float64(0.9327544111562193)}",E,45.0,0.94
82,08:59:51,"[36, 85, 64, 23]","[33.8, 48.8, 18.3, 31.2]","{'N': np.float64(0.16986818399375875), 'S': np.float64(0.9154719985173352), 'E': np.float64(0.9445543868126975), 'W': np.float64(0.08251303572087071)}",E,45.0,0.94
1,11:53:38,"[62, 93, 31, 32]","[49.7, 16.2, 27.3, 6.2]","{'N': np.float64(0.9106341913300613), 'S': np.float64(0.9064728953909381), 'E': np.float64(0.27145669628134333), 'W': np.float64(0.7823516970063268)}",N,45.0,0.91
2,11:53:39,"[91, 58, 106, 44]","[22.6, 48.6, 20.2, 23.4]","{'N': np.float64(0.9270269844830699), 'S': np.float64(0.9429762257879251), 'E': np.float64(0.9536171610842092), 'W': np.float64(0.942878688337459)}",E,45.0,0.95
3,11:53:40,"[113, 30, 65, 9]","[19.5, 21.6, 15.3, 7.2]","{'N': np.float64(0.9242296376465564), 'S': np.float64(0.434025712872552), 'E': np.float64(0.9141363799835962), 'W': np.float64(0.8188054734010838)}",N,45.0,0.92
4,11:53:40,"[53, 25, 44, 83]","[13.8, 18.9, 3.9, 4.2]","{'N': np.float64(0.9316663731743579), 'S': np.float64(0.6754181869191995), 'E': np.float64(0.9001754710776091), 'W': np.float64(0.9283641046491685)}",N,45.0,0.93
5,11:53:41,"[30, 89, 60, 115]","[7.2, 39.7, 3.8, 31.0]","{'N': np.float64(0.8185158670063416), 'S': np.float64(0.9442805203114855), 'E': np.float64(0.9573063684955109), 'W': np.float64(0.9657140717329236)}",W,45.0,0.97
6,11:53:41,"[5, 55, 116, 33]","[31.3, 38.3, 26.4, 18.9]","{'N': np.float64(0.206386923506769), 'S': np.float64(0.9084630607343174), 'E': np.float64(0.882417836433007), 'W': np.float64(0.6885837458691736)}",S,45.0,0.91
7,11:53:42,"[77, 74, 43, 9]","[30.7, 12.0, 24.0, 27.3]","{'N': np.float64(0.8943491859819211), 'S': np.float64(0.9140424617632898), 'E': np.float64(0.8321916880713708), 'W': np.float64(0.22483638184241164)}",S,45.0,0.91
8,11:53:42,"[52, 74, 95, 17]","[12.1, 32.9, 16.5, 23.3]","{'N': np.float64(0.9397214519171452), 'S': np.float64(0.9247191936217511), 'E': np.float64(0.9508260339362216), 'W': np.float64(0.3020778538262599)}",E,45.0,0.95
9,11:53:43,"[60, 15, 67, 83]","[38.3, 7.9, 24.2, 19.4]","{'N': np.float64(0.9308145246864302), 'S': np.float64(0.8074770301875934), 'E': np.float64(0.8941519286769767), 'W': np.float64(0.9603367492223559)}",W,45.0,0.96
10,11:53:44,"[84, 27, 39, 7]","[13.9, 34.9, 8.0, 7.0]","{'N': np.float64(0.9498971838264648), 'S': np.float64(0.1578987218631517), 'E': np.float64(0.8312007578995277), 'W': np.float64(0.7928071905666239)}",N,45.0,0.95
11,11:53:44,"[55, 34, 85, 94]","[27.7, 3.3, 45.3, 15.4]","{'N': np.float64(0.9232911771879132), 'S': np.float64(0.808908022895528), 'E': np.float64(0.9211043354037923), 'W': np.float64(0.9025398566673982)}",N,45.0,0.92
12,11:53:45,"[46, 31, 29, 53]","[42.9, 43.0, 18.2, 25.1]","{'N': np.float64(0.942327679194086), 'S': np.float64(0.186593300758034), 'E': np.float64(0.7958044922791855), 'W': np.float64(0.9080757044076085)}",N,45.0,0.94
13,11:53:45,"[95, 23, 110, 25]","[17.7, 35.5, 6.4, 16.3]","{'N': np.float64(0.9502406568857269), 'S': np.float64(0.1600553445011769), 'E': np.float64(0.9659337975560881), 'W': np.float64(0.6621120801647765)}",E,45.0,0.97
14,11:53:46,"[32, 30, 28, 12]","[30.3, 26.2, 47.8, 15.4]","{'N': np.float64(0.20513777057161633), 'S': np.float64(0.23806576634811663), 'E': np.float64(0.15981749700402056), 'W': np.float64(0.8014332537125596)}",W,45.0,0.8
15,11:53:46,"[30, 17, 110, 86]","[37.6, 23.7, 4.5, 12.4]","{'N': np.float64(0.1349974297011839), 'S': np.float64(0.35342908426737113), 'E': np.float64(0.9488310525597686), 'W': np.float64(0.9657282279012861)}",W,45.0,0.97
16,11:53:47,"[85, 70, 79, 24]","[20.4, 14.8, 36.5, 38.1]","{'N': np.float64(0.9511109769064281), 'S': np.float64(0.9794550191123659), 'E': np.float64(0.9422439066927003), 'W': np.float64(0.07899231764958581)}",S,45.0,0.98
17,11:53:48,"[9, 13, 16, 88]","[43.3, 30.2, 39.5, 42.1]","{'N': np.float64(0.10739678147504736), 'S': np.float64(0.18830475331581917), 'E': np.float64(0.13848864072717657), 'W': np.float64(0.9129764809076257)}",W,45.0,0.91
18,11:53:48,"[21, 30, 103, 43]","[10.3, 16.7, 7.6, 19.0]","{'N': np.float64(0.9392859949985041), 'S': np.float64(0.7779833450004415), 'E': np.float64(0.9765936358045845), 'W': np.float64(0.9531816023333617)}",E,45.0,0.98
19,11:53:49,"[97, 66, 76, 104]","[26.0, 2.3, 42.3, 14.7]","{'N': np.float64(0.9340960180885897), 'S': np.float64(0.9562199036018797), 'E': np.float64(0.8902074693254476), 'W': np.float64(0.9200402916280643)}",S,45.0,0.96
20,11:53:49,"[47, 7, 69, 109]","[18.3, 21.9, 44.2, 33.9]","{'N': np.float64(0.8570404783002077), 'S': np.float64(0.5485095459752122), 'E': np.float64(0.9081150660706512), 'W': np.float64(0.9294342262358037)}",W,45.0,0.93
21,11:53:50,"[32, 110, 55, 86]","[26.3, 34.0, 29.6, 34.0]","{'N': np.float64(0.18526281207053655), 'S': np.float64(0.9535928234284872), 'E': np.float64(0.919359673484664), 'W': np.float64(0.9462991548153284)}",S,45.0,0.95
22,11:53:51,"[48, 44, 18, 37]","[35.7, 39.5, 46.8, 33.7]","{'N': np.float64(0.9293324540158484), 'S': np.float64(0.8864970056679388), 'E': np.float64(0.0702849975932273), 'W': np.float64(0.12743370949793448)}",N,45.0,0.93
23,11:53:51,"[85, 41, 19, 85]","[36.8, 27.9, 19.9, 31.2]","{'N': np.float64(0.97183191289642), 'S': np.float64(0.9180178158744204), 'E': np.float64(0.775041326619036), 'W': np.float64(0.969104653247566)}",N,45.0,0.97
24,11:53:52,"[89, 31, 83, 71]","[11.1, 47.4, 45.2, 41.0]","{'N': np.float64(0.9605098613610183), 'S': np.float64(0.19619307151512153), 'E': np.float64(0.9419901985687655), 'W': np.float64(0.9514785622480427)}",N,45.0,0.96
25,11:53:52,"[110, 112, 47, 46]","[25.5, 14.3, 36.9, 16.5]","{'N': np.float64(0.9291692814917174), 'S': np.float64(0.9261421726785983), 'E': np.float64(0.9661907156469296), 'W': np.float64(0.9514029759185797)}",E,45.0,0.97
26,11:53:53,"[74, 30, 94, 75]","[35.5, 4.7, 21.9, 9.7]","{'N': np.float64(0.9060316195116194), 'S': np.float64(0.8024672309466802), 'E': np.float64(0.9388139558207452), 'W': np.float64(0.9187715139492696)}",E,45.0,0.94
27,11:53:53,"[57, 78, 47, 31]","[5.7, 21.7, 41.8, 48.6]","{'N': np.float64(0.963807602914947), 'S': np.float64(0.9500593645391935), 'E': np.float64(0.9078180387240481), 'W': np.float64(0.10159158164559064)}",N,45.0,0.96
28,11:53:54,"[33, 36, 14, 110]","[40.0, 13.4, 44.5, 27.8]","{'N': np.float64(0.11505350466330656), 'S': np.float64(0.6762290399753305), 'E': np.float64(0.0973285572175209), 'W': np.float64(0.8963605827756841)}",W,45.0,0.9
